INVOICE_NO,vcurr Net Revenue,INVOICE_DATE,$ Net Revenue,$ Gross Revenue,vcurr Gross Revenue,Sum of TONS_QTY
VKR-136924,20655,2024-06-07 00:00:00,22411,22410.5796,20654.91207373272,10.4392877819153
VKR-136925,7718,2024-06-07 00:00:00,8374,8374.0632,7718.030599078342,3.1244667144998997
VKR-136926,6885,2024-06-07 00:00:00,7470,7470.4897,6885.243963133641,2.7710728990329003
VKR-136927,48160,2024-06-07 00:00:00,52253,52253.28,48159.70506912442,22.065263922224602
VKR-136928,1200,2024-06-07 00:00:00,1302,1301.6745,1199.7,0.44167196251639995
VKR-136929,2945,2024-06-07 00:00:00,3195,3195.3684,2945.04,1.5181237672293
VKR-136930,18394,2024-06-10 00:00:00,19957,19957.4897,18393.999723502304,23.8679035035364
VKR-136931,89760,2024-06-10 00:00:00,97390,97389.5985,89759.99861751152,22.868798269755903
VKR-136932,42703,2024-06-10 00:00:00,46333,46332.8411,42703.07935483871,22.0038701949451
VKR-136933,1740,2024-06-10 00:00:00,1888,1887.9,1740.0000000000002,0.99835680637
VKR-136934,35067,2024-06-10 00:00:00,38048,38048.047,35067.32442396313,15.654983151292097
VKR-136935,17048,2024-06-10 00:00:00,18497,18496.8627,17047.799723502307,8.4435675364656
VKR-136936,19482,2024-06-10 00:00:00,21138,21137.9697,19481.999723502307,9.0051466419915
VKR-136937,14742,2024-06-10 00:00:00,15995,15994.852,14741.799078341015,7.6477714747665
VKR-136938,13006,2024-06-10 00:00:00,14112,14111.8353,13006.299815668204,5.7306315714956
VKR-136939,280,2024-06-10 00:00:00,304,303.8,280,0.0192005650221
VKR-136940,10077,2024-06-10 00:00:00,10933,10933.3821,10076.849861751152,4.3287408490788
VKR-136941,15924,2024-06-10 00:00:00,17278,17277.7513,15924.194746543779,7.827521059150101
VKR-136942,8339,2024-06-10 00:00:00,9048,9047.9234,8339.099907834101,4.4161027395408
VKR-136943,15924,2024-06-10 00:00:00,17278,17277.7513,15924.194746543779,8.239546224363298
VKR-136944,39900,2024-06-11 00:00:00,43291,43291.4994,39899.99944700461,5.8798634612256
VKR-136945,15210,2024-06-11 00:00:00,16503,16502.8498,15209.999815668203,23.751901790832598
VKR-136946,15924,2024-06-11 00:00:00,17278,17277.7513,15924.194746543779,7.582572107502701
VKR-136947,15924,2024-06-11 00:00:00,17278,17277.7513,15924.194746543779,7.6405729638546
VKR-136948,3011,2024-06-11 00:00:00,3267,3267.4499,3011.4745622119817,1.4030564548077002
VKR-136949,6174,2024-06-11 00:00:00,6699,6698.7899,6173.999907834102,2.9980868083705
VKR-136950,40365,2024-06-11 00:00:00,43796,43796.0243,40364.99935483871,11.894076446521499
VKR-136951,46839,2024-06-11 00:00:00,50820,50820.1407,46838.83935483872,20.6182634386113
VKR-136952,20482,2024-06-11 00:00:00,22223,22222.6984,20481.749677419357,5.9079997959367
VKR-136953,3011,2024-06-11 00:00:00,3267,3267.4499,3011.4745622119817,1.4000536733183
VKR-136954,19967,2024-06-12 00:00:00,21664,21664.42,19967.20737327189,10.954768294878098
VKR-136955,35464,2024-06-12 00:00:00,38479,38478.7378,35464.27447004609,15.658933940834798
VKR-136956,19967,2024-06-12 00:00:00,21664,21664.42,19967.20737327189,10.9556754796181
VKR-136957,15924,2024-06-12 00:00:00,17278,17277.7513,15924.194746543779,7.524534963761201
VKR-136958,15924,2024-06-12 00:00:00,17278,17277.7513,15924.194746543779,7.518520328935
VKR-136959,16040,2024-06-12 00:00:00,17404,17403.8663,16040.429769585255,7.7385262361561
VKR-136960,40036,2024-06-12 00:00:00,43440,43439.6018,40036.49935483871,22.4786498645478
VKR-136961,55755,2024-06-13 00:00:00,60494,60494.1741,55754.99917050691,22.168147743588
VKR-136962,9859,2024-06-13 00:00:00,10698,10697.5573,9859.499815668203,4.3878847582031
VKR-136963,15893,2024-06-13 00:00:00,17244,17244.1207,15893.198801843319,7.668546005312501
VKR-136964,2650,2024-06-13 00:00:00,2875,2875.25,2650,0.00045359237000000004
VKR-136965,7367,2024-06-13 00:00:00,7993,7992.776,7366.613824884793,3.0331540344952
VKR-136966,55755,2024-06-14 00:00:00,60494,60494.1741,55754.99917050691,22.168147743588
VKR-136967,8243,2024-06-14 00:00:00,8943,8943.3972,8242.762396313365,4.2693701437695
VKR-136968,41485,2024-06-14 00:00:00,45012,45011.7668,41485.49935483871,22.4786498645478
VKR-136969,42197,2024-06-14 00:00:00,45783,45783.4295,42196.709216589865,19.592623051185797
VKR-136970,42418,2024-06-14 00:00:00,46024,46023.5524,42418.02064516129,15.133778302619902
VKR-136971,36701,2024-06-14 00:00:00,39821,39821.0591,36701.436958525344,19.3195967318354
VKR-136972,8916,2024-06-14 00:00:00,9674,9673.8599,8915.9999078341,3.8680679021830997
VKR-136973,9859,2024-06-14 00:00:00,10698,10697.5573,9859.499815668203,3.0391187741607
VKR-136974,42964,2024-06-14 00:00:00,46616,46615.8555,42963.92211981567,22.3925671045692
VKR-136975,11705,2024-06-14 00:00:00,12700,12699.8324,11704.91465437788,5.6401807169939
VKR-136976,11367,2024-06-17 00:00:00,12333,12333.1297,11366.939815668202,20.952379578353302
VKR-136977,39997,2024-06-17 00:00:00,43397,43396.88,39997.124423963134,21.3367718963861
VKR-136978,787,2024-06-17 00:00:00,854,853.7905000000001,786.9036866359448,0.07725585245840001
VKR-136979,9171,2024-06-17 00:00:00,9951,9950.5349,9170.999907834102,20.5056908842247
VKR-136980,0,2024-06-17 00:00:00,0,0,0,0.0181436948
VKR-136981,4123,2024-06-17 00:00:00,4474,4473.7561,4123.277511520737,0.0725747792
VKR-136982,17746,2024-06-17 00:00:00,19255,19254.7106,17746.277050691242,8.1456027086126
VKR-136983,10552,2024-06-17 00:00:00,11449,11449.4623,10552.499815668203,3.1587582976719
VKR-136984,55755,2024-06-18 00:00:00,60494,60494.1741,55754.99917050691,22.168147743588
VKR-136985,6368,2024-06-18 00:00:00,6909,6909.2799,6367.999907834102,0.7679999212655
